"",BBEX3.D.KRW.USD.CA.AA.000,BBEX3.D.KRW.USD.CA.AA.000_FLAGS
2004-12-23,1040.30,
2004-12-24,1037.30,
2004-12-25,.,No value available
2004-12-26,.,No value available
2004-12-27,1036.20,
2004-12-28,1032.20,
2004-12-29,1030.80,
2004-12-30,1031.60,
2004-12-31,1024.90,
2005-01-01,.,No value available
2005-01-02,.,No value available
2005-01-03,1028.00,
2005-01-04,1028.60,
2005-01-05,1036.10,
2005-01-06,1048.20,
2005-01-07,1040.80,
2005-01-08,.,No value available
2005-01-09,.,No value available
2005-01-10,1043.30,
2005-01-11,1034.80,
2005-01-12,1031.90,
2005-01-13,1026.50,
2005-01-14,1032.60,
2005-01-15,.,No value available
2005-01-16,.,No value available
2005-01-17,1025.60,
2005-01-18,1025.60,
2005-01-19,1020.80,
2005-01-20,1023.00,
2005-01-21,1027.90,
2005-01-22,.,No value available
2005-01-23,.,No value available
2005-01-24,1022.10,
2005-01-25,1021.20,
2005-01-26,1021.90,
2005-01-27,1018.50,
2005-01-28,1014.10,
2005-01-29,.,No value available
2005-01-30,.,No value available
2005-01-31,1015.50,
2005-02-01,1017.80,
2005-02-02,1017.80,
2005-02-03,1015.10,
2005-02-04,1016.70,
2005-02-05,.,No value available
2005-02-06,.,No value available
2005-02-07,1016.20,
2005-02-08,.,No value available
2005-02-09,.,No value available
2005-02-10,.,No value available
2005-02-11,1023.10,
2005-02-12,.,No value available
2005-02-13,.,No value available
2005-02-14,1015.10,
2005-02-15,1016.50,
2005-02-16,1016.20,
2005-02-17,1015.60,
2005-02-18,1014.10,
2005-02-19,.,No value available
2005-02-20,.,No value available
2005-02-21,1013.20,
2005-02-22,996.70,
2005-02-23,994.00,
2005-02-24,996.70,
2005-02-25,998.70,
2005-02-26,.,No value available
2005-02-27,.,No value available
2005-02-28,996.20,
2005-03-01,996.20,
2005-03-02,997.50,
2005-03-03,996.50,
2005-03-04,998.40,
2005-03-05,.,No value available
2005-03-06,.,No value available
2005-03-07,994.80,
2005-03-08,994.50,
2005-03-09,991.40,
2005-03-10,990.20,
2005-03-11,990.50,
2005-03-12,.,No value available
2005-03-13,.,No value available
2005-03-14,991.00,
2005-03-15,994.00,
2005-03-16,994.00,
2005-03-17,991.20,
2005-03-18,995.10,
2005-03-19,.,No value available
2005-03-20,.,No value available
2005-03-21,999.20,
2005-03-22,.,No value available
2005-03-23,998.60,
2005-03-24,1003.40,
2005-03-25,.,No value available
2005-03-26,.,No value available
2005-03-27,.,No value available
2005-03-28,.,No value available
2005-03-29,1009.20,
2005-03-30,1013.60,
2005-03-31,1005.60,
2005-04-01,998.20,
2005-04-02,.,No value available
2005-04-03,.,No value available
2005-04-04,1003.40,
2005-04-05,.,No value available
2005-04-06,1003.40,
2005-04-07,1002.60,
2005-04-08,1005.20,
2005-04-09,.,No value available
2005-04-10,.,No value available
2005-04-11,.,No value available
2005-04-12,1003.30,
2005-04-13,1001.60,
2005-04-14,1006.40,
2005-04-15,1012.50,
2005-04-16,.,No value available
2005-04-17,.,No value available
2005-04-18,1009.80,
2005-04-19,1004.00,
2005-04-20,999.10,
2005-04-21,996.40,
2005-04-22,994.20,
2005-04-23,.,No value available
2005-04-24,.,No value available
2005-04-25,989.20,
2005-04-26,989.20,
2005-04-27,993.00,
2005-04-28,992.80,
2005-04-29,987.40,
2005-04-30,.,No value available
2005-05-01,.,No value available
2005-05-02,991.20,
2005-05-03,992.50,
2005-05-04,990.10,
2005-05-05,.,No value available
2005-05-06,988.30,
2005-05-07,.,No value available
2005-05-08,.,No value available
2005-05-09,991.00,
2005-05-10,989.40,
2005-05-11,990.40,
2005-05-12,990.00,
2005-05-13,991.60,
2005-05-14,.,No value available
2005-05-15,.,No value available
2005-05-16,.,No value available
2005-05-17,994.70,
2005-05-18,995.40,
2005-05-19,995.20,
2005-05-20,994.60,
2005-05-21,.,No value available
2005-05-22,.,No value available
2005-05-23,994.60,
2005-05-24,991.00,
2005-05-25,990.80,
2005-05-26,991.90,
2005-05-27,992.70,
2005-05-28,.,No value available
2005-05-29,.,No value available
2005-05-30,992.70,
2005-05-31,998.10,
2005-06-01,1000.80,
2005-06-02,1002.90,
2005-06-03,998.00,
2005-06-04,.,No value available
2005-06-05,.,No value available
2005-06-06,.,No value available
2005-06-07,996.40,
2005-06-08,995.90,
2005-06-09,994.40,
2005-06-10,997.40,
2005-06-11,.,No value available
2005-06-12,.,No value available
2005-06-13,1002.30,
2005-06-14,1003.60,
2005-06-15,1002.30,
2005-06-16,1004.30,
2005-06-17,999.50,
2005-06-18,.,No value available
2005-06-19,.,No value available
2005-06-20,998.40,
2005-06-21,1003.50,
2005-06-22,1000.40,
2005-06-23,1000.70,
2005-06-24,1002.60,
2005-06-25,.,No value available
2005-06-26,.,No value available
2005-06-27,1002.40,
2005-06-28,1011.00,
2005-06-29,1016.10,
2005-06-30,1015.40,
2005-07-01,1021.30,
2005-07-02,.,No value available
2005-07-03,.,No value available
2005-07-04,1033.20,
2005-07-05,1042.70,
2005-07-06,1037.60,
2005-07-07,1042.20,
2005-07-08,1044.50,
2005-07-09,.,No value available
2005-07-10,.,No value available
2005-07-11,1033.50,
2005-07-12,1029.40,
2005-07-13,1026.80,
2005-07-14,1021.70,
2005-07-15,1031.90,
2005-07-16,.,No value available
2005-07-17,.,No value available
2005-07-18,1024.70,
2005-07-19,1029.80,
2005-07-20,1032.10,
2005-07-21,1025.40,
2005-07-22,1011.20,
2005-07-23,.,No value available
2005-07-24,.,No value available
2005-07-25,1012.70,
2005-07-26,1016.90,
2005-07-27,1020.90,
2005-07-28,1017.90,
2005-07-29,1016.80,
2005-07-30,.,No value available
2005-07-31,.,No value available
2005-08-01,1014.40,
2005-08-02,1010.50,
2005-08-03,1007.40,
2005-08-04,1001.70,
2005-08-05,1004.00,
2005-08-06,.,No value available
2005-08-07,.,No value available
2005-08-08,1006.10,
2005-08-09,1003.00,
2005-08-10,1004.80,
2005-08-11,1003.60,
2005-08-12,1003.90,
2005-08-13,.,No value available
2005-08-14,.,No value available
2005-08-15,.,No value available
2005-08-16,1006.40,
2005-08-17,1008.10,
2005-08-18,1008.60,
2005-08-19,1015.50,
2005-08-20,.,No value available
2005-08-21,.,No value available
2005-08-22,1012.60,
2005-08-23,1017.20,
2005-08-24,1017.80,
2005-08-25,1014.00,
2005-08-26,1018.70,
2005-08-27,.,No value available
2005-08-28,.,No value available
2005-08-29,1021.10,
2005-08-30,1024.10,
2005-08-31,1028.30,
2005-09-01,1026.30,
2005-09-02,1016.40,
2005-09-03,.,No value available
2005-09-04,.,No value available
2005-09-05,1012.50,
2005-09-06,1014.10,
2005-09-07,1016.00,
2005-09-08,1015.70,
2005-09-09,1017.10,
2005-09-10,.,No value available
2005-09-11,.,No value available
2005-09-12,1014.90,
2005-09-13,1015.70,
2005-09-14,1015.20,
2005-09-15,1014.70,
2005-09-16,1017.80,
2005-09-17,.,No value available
2005-09-18,.,No value available
2005-09-19,.,No value available
2005-09-20,1018.60,
2005-09-21,1021.40,
2005-09-22,1017.60,
2005-09-23,1020.80,
2005-09-24,.,No value available
2005-09-25,.,No value available
2005-09-26,1024.60,
2005-09-27,1025.70,
2005-09-28,1027.20,
2005-09-29,1026.90,
2005-09-30,1030.80,
2005-10-01,.,No value available
2005-10-02,.,No value available
2005-10-03,.,No value available
2005-10-04,1030.80,
2005-10-05,1029.00,
2005-10-06,1031.70,
2005-10-07,1027.10,
2005-10-08,.,No value available
2005-10-09,.,No value available
2005-10-10,1027.80,
2005-10-11,1031.50,
2005-10-12,1032.70,
2005-10-13,1036.90,
2005-10-14,1034.80,
2005-10-15,.,No value available
2005-10-16,.,No value available
2005-10-17,1037.10,
2005-10-18,1041.00,
2005-10-19,1044.50,
2005-10-20,1045.50,
2005-10-21,1047.00,
2005-10-22,.,No value available
2005-10-23,.,No value available
2005-10-24,1047.80,
2005-10-25,1044.70,
2005-10-26,1032.30,
2005-10-27,1033.10,
2005-10-28,1032.10,
2005-10-29,.,No value available
2005-10-30,.,No value available
2005-10-31,1030.10,
2005-11-01,1032.10,
2005-11-02,1029.40,
2005-11-03,1033.40,
2005-11-04,1037.70,
2005-11-05,.,No value available
2005-11-06,.,No value available
2005-11-07,1039.30,
2005-11-08,1038.20,
2005-11-09,1035.80,
2005-11-10,1037.10,
2005-11-11,1031.20,
2005-11-12,.,No value available
2005-11-13,.,No value available
2005-11-14,1027.90,
2005-11-15,1024.40,
2005-11-16,1027.20,
2005-11-17,1025.80,
2005-11-18,1026.00,
2005-11-19,.,No value available
2005-11-20,.,No value available
2005-11-21,1029.20,
2005-11-22,1034.30,
2005-11-23,1026.70,
2005-11-24,1027.80,
2005-11-25,1031.00,
2005-11-26,.,No value available
2005-11-27,.,No value available
2005-11-28,1028.40,
2005-11-29,1026.20,
2005-11-30,1023.40,
2005-12-01,1024.60,
2005-12-02,1028.40,
2005-12-03,.,No value available
2005-12-04,.,No value available
2005-12-05,1026.30,
2005-12-06,1024.10,
2005-12-07,1025.30,
2005-12-08,1024.30,
2005-12-09,1023.70,
2005-12-10,.,No value available
2005-12-11,.,No value available
2005-12-12,1023.60,
2005-12-13,1016.00,
2005-12-14,1006.50,
2005-12-15,1004.10,
2005-12-16,1006.30,
2005-12-17,.,No value available
2005-12-18,.,No value available
2005-12-19,1007.80,
2005-12-20,1006.60,
2005-12-21,1008.40,
2005-12-22,1007.70,
2005-12-23,1003.60,
2005-12-24,.,No value available
2005-12-25,.,No value available
2005-12-26,1001.90,
2005-12-27,1002.60,
2005-12-28,1002.70,
2005-12-29,1001.70,
2005-12-30,994.70,
2005-12-31,.,No value available
2006-01-01,.,No value available
2006-01-02,998.20,
2006-01-03,995.60,
2006-01-04,988.70,
2006-01-05,977.70,
2006-01-06,978.50,
2006-01-07,.,No value available
2006-01-08,.,No value available
2006-01-09,968.00,
2006-01-10,972.50,
2006-01-11,975.10,
2006-01-12,964.50,
2006-01-13,978.20,
2006-01-14,.,No value available
2006-01-15,.,No value available
2006-01-16,972.90,
2006-01-17,976.70,
2006-01-18,982.40,
2006-01-19,975.40,
2006-01-20,977.20,
2006-01-21,.,No value available
2006-01-22,.,No value available
2006-01-23,971.70,
2006-01-24,966.00,
2006-01-25,959.50,
2006-01-26,959.60,
2006-01-27,961.30,
2006-01-28,.,No value available
2006-01-29,.,No value available
2006-01-30,.,No value available
2006-01-31,955.20,
2006-02-01,951.60,
2006-02-02,962.50,
2006-02-03,960.80,
2006-02-04,.,No value available
2006-02-05,.,No value available
2006-02-06,953.20,
2006-02-07,958.40,
2006-02-08,961.30,
2006-02-09,963.30,
2006-02-10,958.40,
2006-02-11,.,No value available
2006-02-12,.,No value available
2006-02-13,967.30,
2006-02-14,960.40,
2006-02-15,964.50,
2006-02-16,965.10,
2006-02-17,963.30,
2006-02-18,.,No value available
2006-02-19,.,No value available
2006-02-20,958.30,
2006-02-21,959.20,
2006-02-22,965.00,
2006-02-23,959.70,
2006-02-24,957.00,
2006-02-25,.,No value available
2006-02-26,.,No value available
2006-02-27,959.60,
2006-02-28,961.40,
2006-03-01,961.40,
2006-03-02,959.70,
2006-03-03,961.80,
2006-03-04,.,No value available
2006-03-05,.,No value available
2006-03-06,965.40,
2006-03-07,967.10,
2006-03-08,972.50,
2006-03-09,972.60,
2006-03-10,970.60,
2006-03-11,.,No value available
2006-03-12,.,No value available
2006-03-13,971.30,
2006-03-14,967.50,
2006-03-15,965.30,
2006-03-16,965.50,
2006-03-17,961.70,
2006-03-18,.,No value available
2006-03-19,.,No value available
2006-03-20,957.70,
2006-03-21,959.00,
2006-03-22,964.10,
2006-03-23,966.10,
2006-03-24,969.70,
2006-03-25,.,No value available
2006-03-26,.,No value available
2006-03-27,966.20,
2006-03-28,967.30,
2006-03-29,966.00,
2006-03-30,966.60,
2006-03-31,962.10,
2006-04-01,.,No value available
2006-04-02,.,No value available
2006-04-03,961.30,
2006-04-04,953.80,
2006-04-05,948.00,
2006-04-06,944.40,
2006-04-07,943.90,
2006-04-08,.,No value available
2006-04-09,.,No value available
2006-04-10,944.30,
2006-04-11,945.40,
2006-04-12,951.00,
2006-04-13,952.10,
2006-04-14,949.10,
2006-04-15,.,No value available
2006-04-16,.,No value available
2006-04-17,946.30,
2006-04-18,944.50,
2006-04-19,936.40,
2006-04-20,939.30,
2006-04-21,939.40,
2006-04-22,.,No value available
2006-04-23,.,No value available
2006-04-24,930.60,
2006-04-25,935.90,
2006-04-26,937.30,
2006-04-27,935.70,
2006-04-28,934.20,
2006-04-29,.,No value available
2006-04-30,.,No value available
2006-05-01,.,No value available
2006-05-02,930.90,
2006-05-03,925.20,
2006-05-04,930.40,
2006-05-05,.,No value available
2006-05-06,.,No value available
2006-05-07,.,No value available
2006-05-08,919.00,
2006-05-09,922.90,
2006-05-10,920.50,
2006-05-11,926.50,
2006-05-12,923.60,
2006-05-13,.,No value available
2006-05-14,.,No value available
2006-05-15,934.40,
2006-05-16,935.70,
2006-05-17,927.80,
2006-05-18,937.80,
2006-05-19,937.10,
2006-05-20,.,No value available
2006-05-21,.,No value available
2006-05-22,943.00,
2006-05-23,934.60,
2006-05-24,940.40,
2006-05-25,939.80,
2006-05-26,936.40,
2006-05-27,.,No value available
2006-05-28,.,No value available
2006-05-29,938.20,
2006-05-30,936.40,
2006-05-31,.,No value available
2006-06-01,938.10,
2006-06-02,938.80,
2006-06-03,.,No value available
2006-06-04,.,No value available
2006-06-05,933.80,
2006-06-06,.,No value available
2006-06-07,939.00,
2006-06-08,944.10,
2006-06-09,945.10,
2006-06-10,.,No value available
2006-06-11,.,No value available
2006-06-12,947.50,
2006-06-13,952.40,
2006-06-14,952.60,
2006-06-15,950.10,
2006-06-16,946.50,
2006-06-17,.,No value available
2006-06-18,.,No value available
2006-06-19,951.90,
2006-06-20,947.30,
2006-06-21,946.50,
2006-06-22,945.80,
2006-06-23,946.80,
2006-06-24,.,No value available
2006-06-25,.,No value available
2006-06-26,950.20,
2006-06-27,949.50,
2006-06-28,948.40,
2006-06-29,951.10,
2006-06-30,939.70,
2006-07-01,.,No value available
2006-07-02,.,No value available
2006-07-03,935.70,
2006-07-04,934.20,
2006-07-05,937.50,
2006-07-06,940.20,
2006-07-07,938.70,
2006-07-08,.,No value available
2006-07-09,.,No value available
2006-07-10,932.80,
2006-07-11,937.60,
2006-07-12,939.60,
2006-07-13,939.90,
2006-07-14,944.50,
2006-07-15,.,No value available
2006-07-16,.,No value available
2006-07-17,.,No value available
2006-07-18,949.30,
2006-07-19,948.60,
2006-07-20,942.60,
2006-07-21,940.80,
2006-07-22,.,No value available
2006-07-23,.,No value available
2006-07-24,942.40,
2006-07-25,942.90,
2006-07-26,945.30,
2006-07-27,942.90,
2006-07-28,944.60,
2006-07-29,.,No value available
2006-07-30,.,No value available
2006-07-31,945.90,
2006-08-01,946.70,
2006-08-02,952.90,
2006-08-03,956.30,
2006-08-04,955.40,
2006-08-05,.,No value available
2006-08-06,.,No value available
2006-08-07,953.20,
2006-08-08,954.30,
2006-08-09,950.10,
2006-08-10,948.60,
2006-08-11,952.30,
2006-08-12,.,No value available
2006-08-13,.,No value available
2006-08-14,956.40,
2006-08-15,.,No value available
2006-08-16,955.80,
2006-08-17,951.60,
2006-08-18,949.30,
2006-08-19,.,No value available
2006-08-20,.,No value available
2006-08-21,947.30,
2006-08-22,947.00,
2006-08-23,946.40,
2006-08-24,949.80,
2006-08-25,952.50,
2006-08-26,.,No value available
2006-08-27,.,No value available
2006-08-28,954.60,
2006-08-29,951.60,
2006-08-30,952.00,
2006-08-31,952.10,
2006-09-01,951.10,
2006-09-02,.,No value available
2006-09-03,.,No value available
2006-09-04,948.60,
2006-09-05,947.30,
2006-09-06,947.70,
2006-09-07,947.10,
2006-09-08,947.00,
2006-09-09,.,No value available
2006-09-10,.,No value available
2006-09-11,948.20,
2006-09-12,949.60,
2006-09-13,949.70,
2006-09-14,948.40,
2006-09-15,947.00,
2006-09-16,.,No value available
2006-09-17,.,No value available
2006-09-18,947.20,
2006-09-19,946.40,
2006-09-20,941.50,
2006-09-21,935.10,
2006-09-22,938.00,
2006-09-23,.,No value available
2006-09-24,.,No value available
2006-09-25,934.80,
2006-09-26,935.00,
2006-09-27,934.50,
2006-09-28,936.00,
2006-09-29,937.00,
2006-09-30,.,No value available
2006-10-01,.,No value available
2006-10-02,938.70,
2006-10-03,.,No value available
2006-10-04,939.80,
2006-10-05,.,No value available
2006-10-06,.,No value available
2006-10-07,.,No value available
2006-10-08,.,No value available
2006-10-09,954.50,
2006-10-10,950.10,
2006-10-11,948.90,
2006-10-12,948.50,
2006-10-13,945.90,
2006-10-14,.,No value available
2006-10-15,.,No value available
2006-10-16,946.20,
2006-10-17,945.20,
2006-10-18,946.10,
2006-10-19,948.10,
2006-10-20,948.10,
2006-10-21,.,No value available
2006-10-22,.,No value available
2006-10-23,950.20,
2006-10-24,949.30,
2006-10-25,946.50,
2006-10-26,940.50,
2006-10-27,938.10,
2006-10-28,.,No value available
2006-10-29,.,No value available
2006-10-30,935.40,
2006-10-31,933.10,
2006-11-01,930.30,
2006-11-02,929.80,
2006-11-03,927.90,
2006-11-04,.,No value available
2006-11-05,.,No value available
2006-11-06,933.20,
2006-11-07,929.60,
2006-11-08,926.10,
2006-11-09,927.50,
2006-11-10,924.80,
2006-11-11,.,No value available
2006-11-12,.,No value available
2006-11-13,926.00,
2006-11-14,928.00,
2006-11-15,932.30,
2006-11-16,928.40,
2006-11-17,929.60,
2006-11-18,.,No value available
2006-11-19,.,No value available
2006-11-20,926.30,
2006-11-21,927.90,
2006-11-22,925.00,
2006-11-23,921.40,
2006-11-24,923.00,
2006-11-25,.,No value available
2006-11-26,.,No value available
2006-11-27,921.50,
2006-11-28,921.70,
2006-11-29,921.40,
2006-11-30,920.40,
2006-12-01,919.50,
2006-12-02,.,No value available
2006-12-03,.,No value available
2006-12-04,918.60,
2006-12-05,915.30,
2006-12-06,907.70,
2006-12-07,905.00,
2006-12-08,911.30,
2006-12-09,.,No value available
2006-12-10,.,No value available
2006-12-11,917.10,
2006-12-12,913.70,
2006-12-13,913.60,
2006-12-14,911.70,
2006-12-15,914.20,
2006-12-16,.,No value available
2006-12-17,.,No value available
2006-12-18,918.10,
2006-12-19,922.40,
2006-12-20,916.80,
2006-12-21,918.30,
2006-12-22,919.50,
2006-12-23,.,No value available
2006-12-24,.,No value available
2006-12-25,.,No value available
2006-12-26,920.80,
2006-12-27,921.50,
2006-12-28,919.50,
2006-12-29,919.50,
2006-12-30,.,No value available
2006-12-31,.,No value available
2007-01-01,.,No value available
2007-01-02,917.00,
2007-01-03,917.10,
2007-01-04,922.20,
2007-01-05,925.10,
2007-01-06,.,No value available
2007-01-07,.,No value available
2007-01-08,929.10,
2007-01-09,929.40,
2007-01-10,928.70,
2007-01-11,929.70,
2007-01-12,930.80,
2007-01-13,.,No value available
2007-01-14,.,No value available
2007-01-15,929.50,
2007-01-16,926.50,
2007-01-17,927.90,
2007-01-18,927.70,
2007-01-19,927.20,
2007-01-20,.,No value available
2007-01-21,.,No value available
2007-01-22,930.90,
2007-01-23,931.10,
2007-01-24,929.40,
2007-01-25,926.90,
2007-01-26,931.30,
2007-01-27,.,No value available
2007-01-28,.,No value available
2007-01-29,931.30,
2007-01-30,933.30,
2007-01-31,931.70,
2007-02-01,928.00,
2007-02-02,928.10,
2007-02-03,.,No value available
2007-02-04,.,No value available
2007-02-05,926.70,
2007-02-06,923.80,
2007-02-07,924.60,
2007-02-08,926.00,
2007-02-09,925.50,
2007-02-10,.,No value available
2007-02-11,.,No value available
2007-02-12,928.50,
2007-02-13,930.30,
2007-02-14,929.40,
2007-02-15,925.70,
2007-02-16,927.30,
2007-02-17,.,No value available
2007-02-18,.,No value available
2007-02-19,.,No value available
2007-02-20,929.40,
2007-02-21,929.40,
2007-02-22,929.70,
2007-02-23,929.00,
2007-02-24,.,No value available
2007-02-25,.,No value available
2007-02-26,929.60,
2007-02-27,929.60,
2007-02-28,932.60,
2007-03-01,.,No value available
2007-03-02,933.80,
2007-03-03,.,No value available
2007-03-04,.,No value available
2007-03-05,942.10,
2007-03-06,938.50,
2007-03-07,939.50,
2007-03-08,938.70,
2007-03-09,936.70,
2007-03-10,.,No value available
2007-03-11,.,No value available
2007-03-12,934.80,
2007-03-13,935.40,
2007-03-14,937.10,
2007-03-15,935.30,
2007-03-16,935.60,
2007-03-17,.,No value available
2007-03-18,.,No value available
2007-03-19,934.50,
2007-03-20,932.50,
2007-03-21,928.90,
2007-03-22,928.90,
2007-03-23,928.80,
2007-03-24,.,No value available
2007-03-25,.,No value available
2007-03-26,929.60,
2007-03-27,931.70,
2007-03-28,929.90,
2007-03-29,931.30,
2007-03-30,931.70,
2007-03-31,.,No value available
2007-04-01,.,No value available
2007-04-02,928.20,
